[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.019001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.019001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.022001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002001s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:13+08:00 ] /xxx/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Tag[ route_check ] --START--
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Tag[ app_begin ] --START--
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:26+08:00 ] /xxx/admin.php/Common/verify/random/0.6887610828680324 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:31+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.017001s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ParseTemplate Behavior [ RunTime:0.028002s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028002s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --START--
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --START--
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2018-08-29T16:16:32+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
